Type	FSWP-26
Version	3.01
Date	23.May 2025
VSupply	ON
Mode	Voltage
2.2456979752	-55.4576530457
2.2534756660	-55.4576530457
2.2612800598	-55.4576530457
2.2691116333	-55.4576530457
2.2769701481	-55.5514793396
2.2848560810	-55.6662063599
2.2927691936	-55.7809638977
2.3007099628	-55.7829399109
2.3086779118	-55.8737449646
2.3166735172	-55.9280967712
2.3246970177	-56.0799751282
2.3327481747	-56.1620521545
2.3408272266	-56.2550811768
2.3489341736	-56.3195343018
2.3570692539	-56.4392051697
2.3652327061	-56.4392051697
2.3734242916	-56.4392051697
2.3816442490	-56.4392051697
2.3898925781	-56.4392051697
2.3981695175	-56.4392051697
2.4064753056	-56.4392051697
2.4148097038	-56.3744392395
2.4231729507	-56.3195343018
2.4315650463	-56.1620521545
2.4399862289	-55.8737449646
2.4484367371	-55.8675384521
2.4569165707	-55.7809638977
2.4654254913	-55.4288597107
2.4739642143	-55.4038925171
2.4825322628	-55.3789520264
2.4911301136	-55.0348739624
2.4997575283	-55.0348739624
2.5084149837	-55.0348739624
2.5171024799	-55.0348739624
2.5258200169	-55.0348739624
2.5345678329	-55.0348739624
2.5433456898	-55.1320877075
2.5521540642	-55.3619155884
2.5609929562	-55.4038925171
2.5698626041	-55.4288597107
2.5787627697	-55.6150703430
2.5876939297	-55.6150703430
2.5966558456	-55.6150703430
2.6056489944	-55.6150703430
2.6146731377	-55.6150703430
2.6237285137	-55.6150703430
2.6328153610	-55.6150703430
2.6419336796	-55.6150703430
2.6510834694	-55.4925537109
2.6602649689	-55.4038925171
2.6694786549	-55.3619155884
2.6787238121	-55.3368301392
2.6880011559	-55.3368301392
2.6973104477	-55.3368301392
2.7066521645	-55.3368301392
2.7160260677	-55.3368301392
2.7254326344	-55.3368301392
2.7348716259	-55.3368301392
2.7443432808	-55.3368301392
2.7538478374	-55.3368301392
2.7633852959	-55.3368301392
2.7729558945	-55.3368301392
2.7825593948	-55.3368301392
2.7921962738	-55.3368301392
2.8018665314	-55.3368301392
2.8115704060	-55.3619155884
2.8213076591	-55.4925537109
2.8310787678	-55.6150703430
2.8408837318	-55.6923713684
2.8507225513	-55.8029632568
2.8605954647	-55.8029632568
2.8705027103	-55.8029632568
2.8804440498	-55.8029632568
2.8904199600	-55.8029632568
2.9004304409	-55.8431892395
2.9104754925	-55.8711242676
2.9205553532	-55.8731307983
2.9306702614	-55.9335937500
2.9408199787	-56.0665435791
2.9510049820	-56.0672416687
2.9612252712	-56.1002883911
2.9714810848	-56.1218414307
2.9817721844	-56.1607704163
2.9920992851	-56.1607704163
3.0024619102	-56.1607704163
3.0128602982	-56.1303787231
3.0232946873	-56.1218414307
3.0337653160	-56.1218414307
3.0442721844	-56.1218414307
3.0548155308	-56.1218414307
3.0653953552	-56.1218414307
3.0760118961	-56.1303787231
3.0866649151	-56.1602478027
3.0973551273	-56.1899681091
3.1080822945	-56.3189086914
3.1188464165	-56.4197120667
3.1296479702	-56.4345855713
3.1404869556	-56.4484214783
3.1513633728	-56.4484214783
3.1622776985	-56.4484214783
3.1732296944	-56.4484214783
3.1842195988	-56.4441413879
3.1952474117	-56.4345855713
3.2063136101	-56.4197120667
3.2174181938	-56.3189086914
3.2285611629	-56.1899681091
3.2397425175	-56.1602478027
3.2509627342	-56.1303787231
3.2622220516	-56.1218414307
3.2735199928	-56.0665435791
3.2848572731	-56.0665435791
3.2962338924	-56.0665435791
3.3076496124	-56.0665435791
3.3191051483	-56.0665435791
3.3306002617	-56.1218414307
3.3421351910	-56.1274909973
3.3537099361	-56.1303787231
3.3653249741	-56.1602478027
3.3769800663	-56.3524818420
3.3886756897	-56.4197120667
3.4004118443	-56.4345855713
3.4121885300	-56.4441413879
3.4240059853	-56.5616569519
3.4358644485	-56.6290702820
3.4477639198	-56.6290702820
3.4597046375	-56.6290702820
3.4716866016	-56.6290702820
3.4837102890	-56.6290702820
3.4957754612	-56.6290702820
3.5078823566	-56.5616569519
3.5200312138	-56.4795227051
3.5322222710	-56.4795227051
3.5444555283	-56.4795227051
3.5567314625	-56.4795227051
3.5690495968	-56.4795227051
3.5814104080	-56.4979896545
3.5938138962	-56.5616569519
