Type	FSWP-26
Version	3.01
Date	17.Jun 2025
VSupply	ON
Mode	Voltage
2.2848560810	-91.2177581787
2.2927691936	-91.0223159790
2.3007099628	-90.8315353394
2.3086779118	-90.6534500122
2.3166735172	-90.4881896973
2.3246970177	-90.3299636841
2.3327481747	-90.1785202026
2.3408272266	-90.0221099854
2.3489341736	-89.8613662720
2.3570692539	-89.6918716431
2.3652327061	-89.5158691406
2.3734242916	-89.3469696045
2.3816442490	-89.1823043823
2.3898925781	-89.0578842163
2.3981695175	-88.9514160156
2.4064753056	-88.9220352173
2.4148097038	-88.9157333374
2.4231729507	-89.0108718872
2.4315650463	-89.1224670410
2.4399862289	-89.3314132690
2.4484367371	-89.5477828979
2.4569165707	-89.8076705933
2.4654254913	-90.0619277954
2.4739642143	-90.2947006226
2.4825322628	-90.5000152588
2.4911301136	-90.6537475586
2.4997575283	-90.7722015381
2.5084149837	-90.8552474976
2.5171024799	-90.9255599976
2.5258200169	-90.9893951416
2.5345678329	-91.0721969604
2.5433456898	-91.1592102051
2.5521540642	-91.2677993774
2.5609929562	-91.3726272583
2.5698626041	-91.4642791748
2.5787627697	-91.5278244019
2.5876939297	-91.5542907715
2.5966558456	-91.5225448608
2.6056489944	-91.4596252441
2.6146731377	-91.3269805908
2.6237285137	-91.1789703369
2.6328153610	-90.9881439209
2.6419336796	-90.7919540405
2.6510834694	-90.5869064331
2.6602649689	-90.3964691162
2.6694786549	-90.2142715454
2.6787238121	-90.0903472900
2.6880011559	-89.9918594360
2.6973104477	-89.9748840332
2.7066521645	-90.0160293579
2.7160260677	-90.1178359985
2.7254326344	-90.2980117798
2.7348716259	-90.5025253296
2.7443432808	-90.7394409180
2.7538478374	-90.9572448730
2.7633852959	-91.1496658325
2.7729558945	-91.2715530396
2.7825593948	-91.3626098633
2.7921962738	-91.3781433105
2.8018665314	-91.3686447144
2.8115704060	-91.3293685913
2.8213076591	-91.2582321167
2.8310787678	-91.1747970581
2.8408837318	-91.0688781738
2.8507225513	-90.9633865356
2.8605954647	-90.8582229614
2.8705027103	-90.7923965454
2.8804440498	-90.7528152466
2.8904199600	-90.7578277588
2.9004304409	-90.8144149780
2.9104754925	-90.8934020996
2.9205553532	-91.0013351440
2.9306702614	-91.0973129272
2.9408199787	-91.1829833984
2.9510049820	-91.1979827881
2.9612252712	-91.1724853516
2.9714810848	-91.1018066406
2.9817721844	-90.9970626831
2.9920992851	-90.9073257446
3.0024619102	-90.8468780518
3.0128602982	-90.8844604492
3.0232946873	-90.9815902710
3.0337653160	-91.1676330566
3.0442721844	-91.4114379883
3.0548155308	-91.6572189331
3.0653953552	-91.8724212646
3.0760118961	-91.9769744873
3.0866649151	-92.0122909546
3.0973551273	-91.9524536133
3.1080822945	-91.8590621948
3.1188464165	-91.7718200684
3.1296479702	-91.7140884399
3.1404869556	-91.7119827271
3.1513633728	-91.7298812866
3.1622776985	-91.7642059326
3.1732296944	-91.7709197998
3.1842195988	-91.7501907349
3.1952474117	-91.7012176514
3.2063136101	-91.6293563843
3.2174181938	-91.5732879639
3.2285611629	-91.5375061035
3.2397425175	-91.5482559204
3.2509627342	-91.5993499756
3.2622220516	-91.6733169556
3.2735199928	-91.7662048340
3.2848572731	-91.8585968018
3.2962338924	-91.9375839233
3.3076496124	-91.9988784790
3.3191051483	-92.0230789185
3.3306002617	-92.0098114014
3.3421351910	-91.9693069458
3.3537099361	-91.9036026001
3.3653249741	-91.8229598999
3.3769800663	-91.7521438599
3.3886756897	-91.6986999512
3.4004118443	-91.6768417358
3.4121885300	-91.7105560303
3.4240059853	-91.7835922241
3.4358644485	-91.8891677856
3.4477639198	-92.0167083740
3.4597046375	-92.1091308594
3.4716866016	-92.1347274780
3.4837102890	-92.0816726685
3.4957754612	-91.9331207275
3.5078823566	-91.7376403809
3.5200312138	-91.5693054199
3.5322222710	-91.4560470581
3.5444555283	-91.4239730835
3.5567314625	-91.5014038086
3.5690495968	-91.6144256592
3.5814104080	-91.7353134155
3.5938138962	-91.8406295776
3.6062602997	-91.9087753296
3.6187500954	-91.9581527710
3.6312828064	-92.0089263916
3.6438591480	-92.0674591064
3.6564791203	-92.1353073120
3.6691424847	-92.1976318359
3.6818499565	-92.2257995605
3.6946012974	-92.1964721680
3.7073969841	-92.0884323120
3.7202367783	-91.8849716187
3.7331211567	-91.5736007690
3.7460501194	-91.2321395874
3.7590239048	-90.9355239868
3.7720425129	-90.7439575195
3.7851064205	-90.7085647583
3.7982153893	-90.8752136230
3.8113698959	-91.2624664307
3.8245697021	-91.7626571655
3.8378155231	-92.2763442993
